,prob
189,0.93114384
190,0.930081496
191,0.97105928
192,0.988638609
193,0.953234541
194,0.952349139
195,0.974174252
196,0.977266926
197,0.964545095
198,0.969480886
199,0.959664418
200,0.966976354
201,0.986694174
202,0.97314508
203,0.95253331
204,0.928922566
205,0.923811495
206,0.948883089
207,0.939811651
208,0.956307058
209,0.942473521
210,0.935975651
211,0.977477818
212,0.964697265
213,0.97395009
214,0.95110158
215,0.938304487
216,0.896475872
217,0.983608896
218,0.948312986
219,0.962354242
220,0.949409802
221,0.965834706
222,0.979572988
223,0.986132956
224,0.968011438
225,0.936004326
226,0.958519049
227,0.943530485
228,0.976874084
229,0.975040569
230,0.915732708
231,0.953191374
232,0.971159195
233,0.968011438
234,0.962317439
235,0.963799792
236,0.944894327
237,0.931705067
238,0.947676885
239,0.902064039
240,0.983363678
241,0.982590893
242,0.887501526
243,0.949482169
244,0.913558182
245,0.976499386
246,0.922344486
247,0.970045176
248,0.941995187
249,0.940831638
250,0.900000872
251,0.889945396
252,0.934769259
253,0.966974411
254,0.962144012
255,0.888746774
256,0.946210649
257,0.960188506
258,0.9708988
259,0.936564419
260,0.954551678
261,0.954854178
262,0.968045908
263,0.867715695
264,0.964640412
265,0.901288778
266,0.957914088
267,0.967641643
268,0.947883041
269,0.985093914
270,0.970767235
271,0.968964045
272,0.982296846
273,0.947959139
274,0.97551684
275,0.938723593
276,0.981487312
277,0.928808698
278,0.929781081
279,0.981636299
280,0.992814521
281,0.952007424
282,0.972457497
283,0.971063568
284,0.96657789
285,0.956637543
286,0.969756184
287,0.979546839
288,0.899795881
289,0.94901184
290,0.98776659
291,0.935875012
292,0.987885729
293,0.968607913
294,0.938351807
295,0.968528199
296,0.934180377
297,0.957732822
298,0.929331449
299,0.930530357
300,0.940587585
301,0.959550294
302,0.950089279
303,0.959634527
304,0.976369006
305,0.926858424
306,0.948749024
307,0.974989941
308,0.913866194
309,0.951329957
310,0.888149341
311,0.980065453
312,0.968091309
313,0.95918532
314,0.902921829
315,0.94619993
316,0.923221934
317,0.969667615
318,0.947795164
319,0.974989941
320,0.940090958
321,0.992639847
322,0.988645278
323,0.91406976
324,0.982838895
325,0.919400012
326,0.944705847
327,0.879169635
328,0.989035508
329,0.942133485
330,0.955456434
331,0.981547482
332,0.980951579
333,0.984773451
334,0.974887549
335,0.986694174
336,0.932755477
337,0.969374553
338,0.976965159
339,0.987791881
340,0.979887416
341,0.973813863
342,0.968234029
343,0.973517115
344,0.949823576
345,0.948111915
346,0.887988176
347,0.96339848
348,0.981208521
349,0.902987931
350,0.967962458
351,0.940460595
352,0.967962458
353,0.948111915
354,0.932648251
355,0.898022935
356,0.958982062
357,0.97527531
358,0.958133267
359,0.945014741
360,0.903760075
361,0.953593532
362,0.959089927
363,0.949845177
364,0.966863187
365,0.961439141
366,0.91812865
367,0.982238468
368,0.967489806
369,0.868391643
370,0.979454078
371,0.96365676
372,0.965639643
373,0.985992506
374,0.984966332
375,0.970600497
376,0.894800298
377,0.979952064
378,0.940164964
379,0.935884747
380,0.984627534
381,0.951218859
382,0.974159845
383,0.906359531
384,0.943970642
385,0.964199869
386,0.950065047
387,0.891941183
388,0.968639792
389,0.881044503
390,0.899905221
391,0.929444423
392,0.964330537
393,0.983160245
394,0.933922591
395,0.91610598
396,0.919121416
397,0.988418787
398,0.964626092
399,0.928808074
400,0.985362335
401,0.953895844
402,0.935663897
403,0.953780383
404,0.966946891
405,0.865560571
406,0.973858567
407,0.906579667
408,0.932753556
409,0.975135294
410,0.987156901
411,0.962841337
412,0.988645278
413,0.992639847
414,0.978304355
415,0.938128108
416,0.908897001
417,0.978495502
418,0.95838242
419,0.942679082
420,0.951259269
421,0.971455381
422,0.949467651
423,0.961646446
424,0.97194224
425,0.973393923
426,0.957146317
427,0.976544647
428,0.965530205
429,0.945646126
430,0.973848481
431,0.940782341
432,0.947988316
433,0.924590303
434,0.988417902
435,0.972897181
436,0.972536452
437,0.948119154
438,0.936366595
439,0.928922566
440,0.921581479
441,0.886662564
442,0.988807461
443,0.971144701
444,0.966394816
445,0.898402915
446,0.97527531
447,0.941248345
448,0.958133267
449,0.950050482
450,0.969472853
451,0.983160245
452,0.971453062
453,0.951149997
454,0.983160245
455,0.984773041
456,0.984050356
457,0.952067207
458,0.976772396
459,0.938298316
460,0.977871676
461,0.969120038
462,0.929049634
463,0.947905674
464,0.941807779
465,0.922583351
466,0.950122018
467,0.898364233
468,0.964154967
469,0.958509272
470,0.98722949
471,0.928249703
472,0.990398019
473,0.833884297
474,0.973254483
475,0.973554382
476,0.980660195
477,0.954421653
478,0.928078102
479,0.954504615
480,0.980054624
481,0.938495616
482,0.974905581
483,0.947988316
484,0.960160492
485,0.985708768
486,0.982826733
487,0.964759741
488,0.985265634
489,0.972227659
